,pum2.peaks,reac.qtl,rsq.qtl,count,group
0,No peak,double,all,1341.0,double_all
1,No peak,double,hetero,75.0,double_hetero
2,No peak,double,homo,934.0,double_homo
3,No peak,double,mediate_1,93.0,double_mediate_1
4,No peak,double,mediate_2,239.0,double_mediate_2
5,No peak,mediate_1,all,1362.0,mediate_1_all
6,No peak,mediate_1,hetero,318.0,mediate_1_hetero
7,No peak,mediate_1,homo,214.0,mediate_1_homo
8,No peak,mediate_1,mediate_1,385.0,mediate_1_mediate_1
9,No peak,mediate_1,mediate_2,445.0,mediate_1_mediate_2
10,No peak,mediate_2,all,1376.0,mediate_2_all
11,No peak,mediate_2,hetero,429.0,mediate_2_hetero
12,No peak,mediate_2,homo,95.0,mediate_2_homo
13,No peak,mediate_2,mediate_1,480.0,mediate_2_mediate_1
14,No peak,mediate_2,mediate_2,372.0,mediate_2_mediate_2
15,No peak,single,all,1114.0,single_all
16,No peak,single,hetero,473.0,single_hetero
17,No peak,single,homo,60.0,single_homo
18,No peak,single,mediate_1,348.0,single_mediate_1
19,No peak,single,mediate_2,233.0,single_mediate_2
20,PUM2 peaks,double,all,3.0,double_all
21,PUM2 peaks,double,hetero,0.0,double_hetero
22,PUM2 peaks,double,homo,1.0,double_homo
23,PUM2 peaks,double,mediate_1,1.0,double_mediate_1
24,PUM2 peaks,double,mediate_2,1.0,double_mediate_2
25,PUM2 peaks,mediate_1,all,21.0,mediate_1_all
26,PUM2 peaks,mediate_1,hetero,7.0,mediate_1_hetero
27,PUM2 peaks,mediate_1,homo,3.0,mediate_1_homo
28,PUM2 peaks,mediate_1,mediate_1,5.0,mediate_1_mediate_1
29,PUM2 peaks,mediate_1,mediate_2,6.0,mediate_1_mediate_2
30,PUM2 peaks,mediate_2,all,25.0,mediate_2_all
31,PUM2 peaks,mediate_2,hetero,10.0,mediate_2_hetero
32,PUM2 peaks,mediate_2,homo,2.0,mediate_2_homo
33,PUM2 peaks,mediate_2,mediate_1,5.0,mediate_2_mediate_1
34,PUM2 peaks,mediate_2,mediate_2,8.0,mediate_2_mediate_2
35,PUM2 peaks,single,all,24.0,single_all
36,PUM2 peaks,single,hetero,15.0,single_hetero
37,PUM2 peaks,single,homo,1.0,single_homo
38,PUM2 peaks,single,mediate_1,6.0,single_mediate_1
39,PUM2 peaks,single,mediate_2,2.0,single_mediate_2
